5	0.1
 "gue	r	1
 - ot	t	1
 100 	m	1
 1939	 	2
 1940	,	1
 1941	 	1
 1944	;	1
 1945	.	1
 270 	l	1
 900 	m	1
 A pa	r	1
 Balt	i	3
 CC-B	Y	1
 Camp	o	1
 Comm	o	1
 Crea	t	1
 Disp	o	1
 Finl	a	3
 Krie	g	1
 La c	a	1
 Legg	i	1
 Ogni	 	1
 Polo	n	1
 Pols	k	1
 Sovi	e	1
 Unio	n	1
 Wiki	p	1
 Woje	n	1
 a co	m	1	n	1
 a pi	√	1
 acqu	e	1
 ad a	f	1
 adot	t	1
 affr	o	3
 al f	i	1
 al m	a	1
 all'	u	1
 alla	 	2
 alle	e	1
 alma	n	1
 alte	r	1
 altr	e	1
 anch	e	1
 anfi	b	2
 anni	 	1
 baci	n	2
 balt	i	1
 bass	o	1
 batt	a	1
 boni	f	1
 camp	a	2
 capi	l	1
 che 	i	1
 chiu	n	1
 circ	a	1
 coll	a	1
 comb	a	2
 come	 	1
 comp	e	1	r	1
 comu	n	1
 con 	m	1
 conc	l	1
 conf	l	2	r	1
 cons	i	1
 cont	e	2	i	1	r	3
 coop	e	1
 copi	a	1
 cosi	d	1
 cost	a	1
 crea	r	1
 d'in	v	1
 dal 	c	1	f	1	g	1	s	1
 degl	i	1
 dei 	c	1
 del 	1	6	c	1	m	2
 dell	'	1	1	2	a	3	e	4
 di F	i	2
 di d	i	1
 di g	a	1	r	1
 di l	i	1
 di n	u	1
 di o	p	1
 di u	n	1
 dist	r	1
 dive	r	2
 dizi	o	1
 dura	n	1
 e fi	n	1
 e la	 	1	r	1
 e le	 	1
 e me	d	1
 e pu	√	1	b	1
 e sa	b	1
 e so	v	1
 e vi	d	1
 ed U	n	1
 ed a	n	1
 ed i	l	1
 ed o	c	1
 eegr	a	1
 eeri	u	1
 eeso	p	1
 enci	c	1
 esis	t	1
 esse	r	1
 fine	 	2
 finl	a	1
 fino	 	2
 fond	a	2
 forz	e	1
 fram	m	1
 fu p	i	1
 fu t	e	2
 fung	o	1
 furo	n	2
 gara	n	1
 geog	r	1
 giug	n	1
 glii	a	1
 golf	o	1
 gran	d	1
 gros	s	1
 grup	p	1
 guer	r	2
 guid	a	1
 il b	a	1
 il c	o	1
 il g	o	1
 il m	a	2
 il n	o	1
 il t	r	1
 illc	o	1
 impe	g	1
 in c	o	1
 in o	l	1
 in p	a	1
 infe	t	1
 iniz	i	1
 inte	n	1
 l'in	s	1
 la c	o	1
 la d	i	1
 la m	e	1
 la p	o	1
 la r	e	1
 la t	e	1
 la w	i	1
 larg	o	1
 le C	a	1
 le a	c	1	l	1
 le f	o	1
 le r	e	1
 le u	n	1
 leef	o	1
 leem	a	1
 legg	e	1
 leon	a	1
 libe	r	1
 lice	n	1
 limi	t	1
 line	e	1
 ling	u	1
 ma n	o	1
 magg	i	2
 mar 	B	3
 marz	o	1
 mede	s	1
 medi	a	1
 migl	i	2
 mili	t	1
 mina	t	1
 mine	 	1
 modi	f	1
 mond	i	1
 nava	l	5
 nel 	b	1	m	1	s	1
 nell	'	1	s	1
 non 	f	1
 nonn	o	1
 nove	m	1
 nuov	e	1
 o cr	e	1
 o la	 	1
 occo	r	1
 oltr	e	2
 onli	n	1
 oper	a	2
